Image_Target_eng	targetv_eng	List_eng	Condition_eng	Blocks_eng	Pair_num_eng	CS_Onset_eng	Crit_period_eng	Frame_duration_eng	Target_Syl_eng	Target_Freq_eng	Target_RT_eng	gender_sp_values_eng	cognate_eng	Image_Target_sp	targetv_sp	List_sp	Condition_sp	Blocks_sp	Pair_num_sp	CS_Onset_sp	Crit_period_sp	Frame_duration_sp	Target_Syl_sp	Target_Freq_sp	Target_RT_sp	gender_sp_values_sp	cognate_sp
zebra.jpg	zebra	1	CS_LT	10	11	897	829	1726	2	1.099	864	f	c	zebra.jpg	cebra	3	S_LT	7	11	816	1047	1863	2	1.792	1019	f	c
cactus.jpg	cactus	1	CS_LT	12	12	897	829	1726	2	1.386	933	m	NA	cactus.jpg	nopal	3	S_LT	10	12	880	1074	1954	2	1.099	996	m	NA
broom.jpg	broom	1	CS_LT	3	13	927	841	1768	1	2.197	821	f	NA	broom.jpg	escoba	3	S_LT	11	13	924	970	1894	3	2.303	888	f	NA
penguin.jpg	penguin	1	CS_LT	7	14	927	841	1768	2	1.792	897	m	c	penguin.jpg	pinguino	3	S_LT	2	14	940	927	1867	3	1.946	988	m	c
washingmachine.jpg	washingmachine	1	CS_LT	8	15	897	829	1726	4	0.693	1105	f	NA	washingmachine.jpg	lavadora	3	S_LT	6	15	816	1047	1863	4	1.386	1104	f	NA
bathtub.jpg	bathtub	1	CS_LT	11	16	927	841	1768	2	1.099	976	f	NA	bathtub.jpg	tina	3	S_LT	6	16	924	970	1894	2	1.386	1377	f	NA
canoe.jpg	canoe	2	CS_LT	9	17	927	841	1768	2	1.946	1021	f	c	canoe.jpg	canoa	4	S_LT	5	17	924	970	1894	3	1.792	1472	f	c
parrot.jpg	parrot	2	CS_LT	3	18	927	841	1768	2	1.609	1045	m	NA	parrot.jpg	perico	4	S_LT	3	18	940	927	1867	3	0.693	1217	m	NA
mousetrap.jpg	mousetrap	2	CS_LT	12	19	897	829	1726	2	0.693	1269	f	NA	mousetrap.jpg	ratonera	4	S_LT	10	19	816	1047	1863	4	0.693	1512	f	NA
diaper.jpg	diaper	2	CS_LT	11	20	897	829	1726	2	1.099	1248	m	NA	diaper.jpg	panal	4	S_LT	2	20	880	1074	1954	2	1.386	1321	m	NA
crab.jpg	crab	2	CS_LT	12	21	927	841	1768	1	2.303	1076	m	NA	crab.jpg	cangrejo	4	S_LT	7	21	940	927	1867	3	1.386	1297	m	NA
cookie.jpg	cookie	2	CS_LT	1	22	927	841	1768	2	1.609	1245	f	NA	cookie.jpg	galleta	4	S_LT	7	22	924	970	1894	3	1.609	1274	f	NA
telescope.jpg	telescope	2	CS_LT	5	23	927	841	1768	3	2.197	1035	m	c	telescope.jpg	telescopio	4	S_LT	4	23	940	927	1867	4	2.197	1207	m	c
teapot.jpg	teapot	2	CS_LT	2	24	927	841	1768	2	1.609	1302	f	NA	teapot.jpg	cafetera	4	S_LT	12	24	924	970	1894	4	1.792	1355	f	NA
wheelbarrow.jpg	wheelbarrow	3	CS_LT	1	25	897	829	1726	3	0.693	1226	f	NA	wheelbarrow.jpg	carretilla	1	S_LT	6	25	816	1047	1863	4	0.693	1395	f	NA
stethoscope.jpg	stethoscope	3	CS_LT	6	26	897	829	1726	3	0.693	1281	m	c	stethoscope.jpg	estetoscopio	1	S_LT	9	26	880	1074	1954	5	1.099	1673	m	c
octopus.jpg	octopus	3	CS_LT	10	27	897	861	1758	3	1.099	841	m	NA	octopus.jpg	pulpo	1	S_LT	5	27	880	1074	1954	2	1.099	894	m	NA
hinge.jpg	hinge	3	CS_LT	9	28	927	841	1768	1	1.609	1388	f	NA	hinge.jpg	bisagra	1	S_LT	10	28	924	970	1894	3	0.693	1845	f	NA
vase.jpg	vase	3	CS_LT	3	29	927	841	1768	1	2.079	1168	m	NA	vase.jpg	jarron	1	S_LT	11	29	940	927	1867	2	2.303	1199	m	NA
kite.jpg	kite	3	CS_LT	4	30	927	841	1768	1	1.792	796	m	NA	kite.jpg	papalote	1	S_LT	10	30	940	927	1867	4	1.099	918	m	NA
pumpkin.jpg	pumpkin	3	CS_LT	9	31	897	829	1726	2	1.099	909	f	NA	pumpkin.jpg	calabaza	1	S_LT	3	31	816	1047	1863	4	1.946	1031	f	NA
radish.jpg	radish	3	CS_LT	4	32	897	829	1726	2	0.693	1755	m	NA	radish.jpg	rabano	1	S_LT	12	32	880	1074	1954	3	1.946	1812	m	NA
