Image_Target	Image_Distractor	Location_Target	Location_Distractor	targetv	distractorv	List	Condition	Blocks	Pair_num	Sound	CS_Onset	Crit_period	Frame_duration	Target_Syl	Distractor_Syl	Target_Freq	Distractor_Freq	Target_RT	Distractor_RT	Status	Status_1	gender_sp_values	cognate	random
dress.jpg	lighthouse.jpg	"(588, 263)"	"(959, 890)"	vestido	faro	3	S_HT	2	1	elige_el_dibujo_de_un_vestido.wav	880	1074	1954	3	2	5.136	1.946	887	1424	exp	r	m	NA	0.129844217
penguin.jpg	radio.jpg	"(588, 816)"	"(588, 263)"	pinguino	radios	3	S_LT	2	14	encuentra_el_dibujo_de_un_pinguino.wav	940	927	1867	3	2	1.946	5.017	988	1155	exp	r	m	c	0.107403325
wig.jpg	tent.jpg	"(1331, 816)"	"(588, 263)"	wig	tent	3	CS	3	0	elige_el_drawing_of_a_wig.wav	897	829	1726	0	0	0	0	0	0	fill	r	f	NA	0.182059807
tie.jpg	map.jpg	"(959, 189)"	"(355, 540)"	corbata	mapa	3	S	3	0	encuentra_el_dibujo_de_una_corbata.wav	924	970	1894	0	0	0	0	0	0	fill	r	f	NA	0.159607574
pear.jpg	bomb.jpg	"(959, 189)"	"(588, 816)"	pera	bomba	3	S	3	0	elige_el_dibujo_de_una_pera.wav	816	1047	1863	0	0	0	0	0	0	fill	r	f	NA	0.165142878
lamp.jpg	tear.jpg	"(1331, 816)"	"(588, 816)"	lampara	lagrima	3	S	2	0	encuentra_el_dibujo_de_una_lampara.wav	924	970	1894	0	0	0	0	0	0	fill	r	f	NA	0.206286811
shovel.jpg	hay.jpg	"(588, 816)"	"(1564, 540)"	pala	paja	3	S	3	0	elige_el_dibujo_de_una_pala.wav	816	1047	1863	0	0	0	0	0	0	fill	r	f	NA	0.229878498
pizza.jpg	spider.jpg	"(959, 890)"	"(588, 263)"	pizzas	arana	3	S	4	0	encuentra_el_dibujo_de_una_pizzas.wav	924	970	1894	0	0	0	0	0	0	fill	r	f	NA	0.33322371
box.jpg	taperecorder.jpg	"(959, 890)"	"(355, 540)"	caja	grabadora	3	S_HT	3	8	elige_el_dibujo_de_una_caja.wav	816	1047	1863	2	4	4.796	1.386	933	1336	exp	r	f	NA	0.135796063
shirt.jpg	stroller.jpg	"(355, 540)"	"(1331, 263)"	camisa	carriola	3	S_HT	3	2	elige_el_dibujo_de_una_camisa.wav	816	1047	1863	3	4	4.804	0.602	1258	1347	exp	r	f	NA	0.206565196
