Image_Target_eng_hi	targetv_eng_hi	List_eng_hi	Condition_eng_hi	Blocks_eng_hi	Pair_num_eng_hi	CS_Onset_eng_hi	Crit_period_eng_hi	Frame_duration_eng_hi	Target_Syl_eng_hi	Freq_dif_sp_eng_hi	Target_Freq_eng_hi	Target_RT_eng_hi	gender_sp_values_eng_hi	cognate_eng_hi	Image_Target_eng_lo	targetv_eng_lo	List_eng_lo	Condition_eng_lo	Blocks_eng_lo	Pair_num_eng_lo	CS_Onset_eng_lo	Crit_period_eng_lo	Frame_duration_eng_lo	Target_Syl_eng_lo	Freq_dif_sp_eng_lo	Target_Freq_eng_lo	Target_RT_eng_lo	gender_sp_values_eng_lo	cognate_eng_lo	Image_Target_sp_hi	targetv_sp_hi	List_sp_hi	Condition_sp_hi	Blocks_sp_hi	Pair_num_sp_hi	CS_Onset_sp_hi	Crit_period_sp_hi	Frame_duration_sp_hi	Target_Syl_sp_hi	Target_Freq_sp_hi	Target_RT_sp_hi	gender_sp_values_sp_hi	cognate_sp_hi	Image_Target_sp_lo	targetv_sp_lo	List_sp_lo	Condition_sp_lo	Blocks_sp_lo	Pair_num_sp_lo	CS_Onset_sp_lo	Crit_period_sp_lo	Frame_duration_sp_lo	Target_Syl_sp_lo	Target_Freq_sp_lo	Target_RT_sp_lo	gender_sp_values_sp_lo	cognate_sp_lo
dress.jpg	dress	1	CS_HT	11	1	897	829	1726	1	0.659	4.477	840	m	NA	lighthouse.jpg	lighthouse	4	CS_LT	12	1	897	829	1726	2	0.56	1.386	1216	m	NA	dress.jpg	vestido	3	S_HT	2	1	880	1074	1954	3	5.136	887	m	NA	lighthouse.jpg	faro	2	S_LT	4	1	880	1074	1954	2	1.946	1424	m	NA
shirt.jpg	shirt	1	CS_HT	5	2	897	829	1726	1	0.677	4.127	1272	f	NA	stroller.jpg	stroller	4	CS_LT	10	2	897	829	1726	2	0.091	0.693	1316	f	NA	shirt.jpg	camisa	3	S_HT	3	2	816	1047	1863	3	4.804	1258	f	NA	stroller.jpg	carriola	2	S_LT	7	2	816	1047	1863	4	0.602	1347	f	NA
fish.jpg	fish	1	CS_HT	10	3	927	841	1768	1	1.006	5.1	777	m	NA	razor.jpg	razor	4	CS_LT	2	3	927	841	1768	2	1.61	2.303	1099	m	NA	fish.jpg	pez	3	S_HT	10	3	940	927	1867	1	4.094	980	m	NA	razor.jpg	rastrillo	2	S_LT	10	3	940	927	1867	3	0.693	1152	m	NA
511glass.jpg	511glass	1	CS_HT	1	4	927	841	1768	1	0.156	4.984	942	f	NA	strawberry.jpg	strawberry	4	CS_LT	1	4	927	841	1768	3	0.251314428	1.945910149	1052	f	NA	511glass.jpg	copa	3	S_HT	5	4	924	970	1894	2	4.828	859	f	NA	strawberry.jpg	fresa	2	S_LT	4	4	924	970	1894	2	2.197224577	1001	f	NA
letter.jpg	letter	1	CS_HT	9	5	927	841	1768	2	0.096	5.333	988	f	NA	hose.jpg	hose	4	CS_LT	11	5	927	841	1768	1	0.183	1.609	989	f	NA	letter.jpg	carta	3	S_HT	3	5	924	970	1894	2	5.429	1125	f	NA	hose.jpg	manguera	2	S_LT	2	5	924	970	1894	3	1.792	1064	f	NA
soldier.jpg	soldier	1	CS_HT	5	6	897	829	1726	2	0.272	4.431	1324	m	c	trophy.jpg	trophy	4	CS_LT	8	6	897	829	1726	2	0.588	1.609	1679	m	c	soldier.jpg	soldado	3	S_HT	7	6	880	1074	1954	3	4.159	1009	m	c	trophy.jpg	trofeo	2	S_LT	10	6	880	1074	1954	3	2.197	1524	m	c
roof.jpg	roof	1	CS_HT	3	7	897	829	1726	1	0.657	4.043	1092	m	NA	dustpan.jpg	dustpan	4	CS_LT	4	7	897	829	1726	2	1.031	0.693	1528	m	NA	roof.jpg	techo	3	S_HT	9	7	880	1074	1954	2	4.7	1325	m	NA	dustpan.jpg	recogedor	2	S_LT	9	7	880	1074	1954	4	1.724	1066	m	NA
box.jpg	box	1	CS_HT	8	8	897	829	1726	1	0.161	4.635	753	f	NA	taperecorder.jpg	taperecorder	4	CS_LT	1	8	897	829	1726	4	0.287	1.099	1017	f	NA	box.jpg	caja	3	S_HT	3	8	816	1047	1863	2	4.796	933	f	NA	taperecorder.jpg	grabadora	2	S_LT	1	8	816	1047	1863	4	1.386	1336	f	NA
bridge.jpg	bridge	2	CS_HT	4	9	897	829	1726	1	0.214	4.205	860	m	NA	moose.jpg	moose	1	CS_LT	6	9	897	829	1726	1	0	0.693	1269	m	NA	bridge.jpg	puente	4	S_HT	3	9	880	1074	1954	2	4.419	1010	m	NA	moose.jpg	alce	3	S_LT	4	9	880	1074	1954	2	0.693	1511	m	NA
picture.jpg	picture	2	CS_HT	8	10	927	841	1768	2	0.148	5.165	1022	m	NA	fireman.jpg	fireman	1	CS_LT	12	10	927	841	1768	3	0.183	1.609	898	m	NA	picture.jpg	cuadro	4	S_HT	2	10	940	927	1867	1	5.017	1253	m	NA	fireman.jpg	bombero	3	S_LT	5	10	940	927	1867	3	1.792	947	m	NA
