"","Time","X1","RECORDING_SESSION_LABEL","DELE.MELICET","language","freq","pair_num","target_freq","distractor_freq","Bins","Look","Counts","Total","Prop","Freq_of_fixated_item","Region","ot1","ot2","ot3","ot4","ot5","Prop_cs","DELE.MELICET_cs","Bins_cs","dominance_cat"
"1",620,1,"p01",0.744186047,"CS","HT",1,4.477,1.386,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.271629076368709,-1.67692980419354,"SpDom"
"2",620,11663,"p26",0.795454545,"S","LT",8,1.386,4.796,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.580980529963997,-1.67692980419354,"SpDom"
"3",620,1096,"p03",0.857142857,"CS","LT",27,1.099,4.466,620,1,9,20,0.45,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-2.92961010403395,0.9532045999385,-1.67692980419354,"SpDom"
"4",620,4377,"p09",0.642857143,"S","HT",22,5.68,1.609,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.339784266452793,-1.67692980419354,"EngDom"
"5",620,10937,"p25",0.71,"CS","LT",14,1.792,4.489,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0653522446946683,-1.67692980419354,"SpDom"
"6",620,6321,"p14",0.625,"S","HT",25,4.682,0.693,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.447533339657725,-1.67692980419354,"EngDom"
"7",620,5473,"p11",0.5,"S","LT",9,0.693,4.419,620,2,3,20,0.15,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-4.68728445031252,-1.2017768460583,-1.67692980419354,"EngDom"
"8",620,12034,"p27",1.025,"S","LT",10,1.792,5.017,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.96604588082413,-1.67692980419354,"SpDom"
"9",620,8026,"p18",0.583333333,"S","HT",30,7.584,1.099,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.698947843802567,-1.67692980419354,"EngDom"
"10",620,3290,"p07",0.714285714,"S","HT",5,5.429,1.792,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0912120203329887,-1.67692980419354,"SpDom"
