"","Time","X","RECORDING_SESSION_LABEL","DELE.MELICET","language","freq","Bins","Look","Counts","Total","Prop","Freq_of_fixated_item","Region","ot1","ot2","ot3","ot4","ot5","Prop_cs","DELE.MELICET_cs","Bins_cs"
"1",600,1,"p01",0.744186047,"CS","HT",30,1,60,160,0.375,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,0.110479911479066,0.196991065176695,-1.65200491438505
"2",600,2,"p01",0.744186047,"CS","HT",30,2,80,160,0.5,"L","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,0.83380322071766,0.196991065176695,-1.65200491438505
"3",600,3403,"p23",0.520833333,"CS","LT",30,2,24,160,0.15,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-1.1915020451504,-1.12189696126913,-1.65200491438505
"4",600,44,"p01",0.744186047,"CS","LT",30,2,80,160,0.5,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,0.83380322071766,0.196991065176695,-1.65200491438505
"5",600,2191,"p15",0.782608696,"S","LT",30,2,12,140,0.0857142857142857,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-1.56349688990168,0.423875130308004,-1.65200491438505
"6",600,127,"p01",0.744186047,"S","LT",30,1,40,160,0.25,"L","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-0.612843397759527,0.196991065176695,-1.65200491438505
"7",600,128,"p01",0.744186047,"S","LT",30,2,60,160,0.375,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,0.110479911479066,0.196991065176695,-1.65200491438505
"8",600,4380,"p29",0.955555556,"S","HT",30,2,43,160,0.26875,"L","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-0.504344901373738,1.44511878918471,-1.65200491438505
"9",600,251,"p02",0.708333333,"S","HT",30,1,60,160,0.375,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,0.110479911479066,-0.0147176459616285,-1.65200491438505
"10",600,252,"p02",0.708333333,"S","HT",30,2,40,160,0.25,"L","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-0.612843397759527,-0.0147176459616285,-1.65200491438505
"11",600,375,"p03",0.857142857,"CS","LT",30,1,80,160,0.5,"L","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,0.83380322071766,0.863996097470665,-1.65200491438505
"12",600,376,"p03",0.857142857,"CS","LT",30,2,25,160,0.15625,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-1.15533587968847,0.863996097470665,-1.65200491438505
"13",600,1348,"p09",0.642857143,"CS","LT",30,1,53,160,0.33125,"L","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-0.142683246754441,-0.401351689765062,-1.65200491438505
"14",600,742,"p05",0.954545455,"S","HT",30,1,100,160,0.625,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,1.55712652995625,1.43915418687233,-1.65200491438505
