"","RECORDING_SESSION_LABEL","DELE.MELICET","language","freq","Bins","Look","Counts","Total","Prop","Freq_of_fixated_item","Time","Region"
"55","p01",0.744186047,"CS","LT",36,"1",40,160,0.25,"L",720,"200_pre_200_post_word"
"56","p01",0.744186047,"CS","LT",36,"2",100,160,0.625,"H",720,"200_pre_200_post_word"
"57","p01",0.744186047,"CS","LT",37,"1",40,160,0.25,"L",740,"200_pre_200_post_word"
"58","p01",0.744186047,"CS","LT",37,"2",100,160,0.625,"H",740,"200_pre_200_post_word"
"59","p01",0.744186047,"CS","LT",38,"1",45,160,0.28125,"L",760,"200_pre_200_post_word"
"60","p01",0.744186047,"CS","LT",38,"2",100,160,0.625,"H",760,"200_pre_200_post_word"
"61","p01",0.744186047,"CS","LT",39,"1",56,160,0.35,"L",780,"200_pre_200_post_word"
"62","p01",0.744186047,"CS","LT",39,"2",100,160,0.625,"H",780,"200_pre_200_post_word"
"63","p01",0.744186047,"CS","LT",40,"1",40,160,0.25,"L",800,"200_pre_200_post_word"
"64","p01",0.744186047,"CS","LT",40,"2",91,160,0.56875,"H",800,"200_pre_200_post_word"
"65","p01",0.744186047,"CS","LT",41,"1",40,160,0.25,"L",820,"200_pre_200_post_word"
"66","p01",0.744186047,"CS","LT",41,"2",80,160,0.5,"H",820,"200_pre_200_post_word"
"67","p01",0.744186047,"CS","LT",42,"1",40,160,0.25,"L",840,"200_pre_200_post_word"
"68","p01",0.744186047,"CS","LT",42,"2",80,160,0.5,"H",840,"200_pre_200_post_word"
"69","p01",0.744186047,"CS","LT",43,"1",55,160,0.34375,"L",860,"200_pre_200_post_word"
"70","p01",0.744186047,"CS","LT",43,"2",80,160,0.5,"H",860,"200_pre_200_post_word"
"71","p01",0.744186047,"CS","LT",44,"1",60,160,0.375,"L",880,"200_pre_200_post_word"
"72","p01",0.744186047,"CS","LT",44,"2",80,160,0.5,"H",880,"200_pre_200_post_word"
"73","p01",0.744186047,"CS","LT",45,"1",60,160,0.375,"L",900,"200_pre_200_post_word"
"74","p01",0.744186047,"CS","LT",45,"2",80,160,0.5,"H",900,"200_pre_200_post_word"
"75","p01",0.744186047,"CS","LT",46,"1",60,160,0.375,"L",920,"200_pre_200_post_word"
"76","p01",0.744186047,"CS","LT",46,"2",68,160,0.425,"H",920,"200_pre_200_post_word"
"77","p01",0.744186047,"CS","LT",47,"1",60,160,0.375,"L",940,"200_pre_200_post_word"
"78","p01",0.744186047,"CS","LT",47,"2",74,160,0.4625,"H",940,"200_pre_200_post_word"
"79","p01",0.744186047,"CS","LT",48,"1",60,160,0.375,"L",960,"200_pre_200_post_word"
"80","p01",0.744186047,"CS","LT",48,"2",59,160,0.36875,"H",960,"200_pre_200_post_word"
"81","p01",0.744186047,"CS","LT",49,"1",60,160,0.375,"L",980,"200_pre_200_post_word"
"82","p01",0.744186047,"CS","LT",49,"2",40,160,0.25,"H",980,"200_pre_200_post_word"
"83","p01",0.744186047,"CS","LT",50,"1",72,160,0.45,"L",1000,"200_pre_200_post_word"
"84","p01",0.744186047,"CS","LT",50,"2",40,160,0.25,"H",1000,"200_pre_200_post_word"
"85","p01",0.744186047,"S","HT",30,"1",27,160,0.16875,"H",600,"200_pre_200_post_word"
"86","p01",0.744186047,"S","HT",30,"2",80,160,0.5,"L",600,"200_pre_200_post_word"
"87","p01",0.744186047,"S","HT",31,"1",34,160,0.2125,"H",620,"200_pre_200_post_word"
"88","p01",0.744186047,"S","HT",31,"2",80,160,0.5,"L",620,"200_pre_200_post_word"
"89","p01",0.744186047,"S","HT",32,"1",20,160,0.125,"H",640,"200_pre_200_post_word"
"90","p01",0.744186047,"S","HT",32,"2",80,160,0.5,"L",640,"200_pre_200_post_word"
"91","p01",0.744186047,"S","HT",33,"1",20,160,0.125,"H",660,"200_pre_200_post_word"
"92","p01",0.744186047,"S","HT",33,"2",80,160,0.5,"L",660,"200_pre_200_post_word"
"93","p01",0.744186047,"S","HT",34,"1",20,160,0.125,"H",680,"200_pre_200_post_word"
"94","p01",0.744186047,"S","HT",34,"2",80,160,0.5,"L",680,"200_pre_200_post_word"
"95","p01",0.744186047,"S","HT",35,"1",20,160,0.125,"H",700,"200_pre_200_post_word"
"96","p01",0.744186047,"S","HT",35,"2",63,160,0.39375,"L",700,"200_pre_200_post_word"
"97","p01",0.744186047,"S","HT",36,"1",20,160,0.125,"H",720,"200_pre_200_post_word"
"98","p01",0.744186047,"S","HT",36,"2",60,160,0.375,"L",720,"200_pre_200_post_word"
